,Advertisement ,Hiring,Patents,City,Net Income
0,165349.2,136897.8,471784.1,Mumbai,192261.83
1,162597.7,151377.59,443898.53,Bangalore,191792.06
2,153441.51,101145.55,407934.54,Pune,191050.39
3,144372.41,118671.85,383199.62,Mumbai,182901.99
4,142107.34,91391.77,366168.42,Pune,166187.94
5,131876.9,99814.71,362861.36,Mumbai,156991.12
6,134615.46,147198.87,127716.82,Bangalore,156122.51
7,130298.13,145530.06,323876.68,Pune,155752.6
8,120542.52,148718.95,311613.29,Mumbai,152211.77
9,123334.88,108679.17,304981.62,Bangalore,149759.96
10,101913.08,110594.11,229160.95,Pune,146121.95
11,100671.96,91790.61,249744.55,Bangalore,144259.4
12,93863.75,127320.38,249839.44,Pune,141585.52
13,91992.39,135495.07,252664.93,Bangalore,134307.35
14,119943.24,156547.42,256512.92,Pune,132602.65
15,114523.61,122616.84,261776.23,Mumbai,129917.04
16,78013.11,121597.55,264346.06,Bangalore,126992.93
17,94657.16,145077.58,282574.31,Mumbai,125370.37
18,91749.16,114175.79,294919.57,Pune,124266.9
19,86419.7,153514.11,0.0,Mumbai,122776.86
20,76253.86,113867.3,298664.47,Bangalore,118474.03
21,78389.47,153773.43,299737.29,Mumbai,111313.02
22,73994.56,122782.75,303319.26,Pune,110352.25
23,67532.53,105751.03,304768.73,Pune,108733.99
24,77044.01,99281.34,140574.81,Mumbai,108552.04
25,64664.71,139553.16,137962.62,Bangalore,107404.34
26,75328.87,144135.98,134050.07,Pune,105733.54
27,72107.6,127864.55,353183.81,Mumbai,105008.31
28,66051.52,182645.56,118148.2,Pune,103282.38
29,65605.48,153032.06,107138.38,Mumbai,101004.64
30,61994.48,115641.28,91131.24,Pune,99937.59
31,61136.38,152701.92,88218.23,Mumbai,97483.56
32,63408.86,129219.61,46085.25,Bangalore,97427.84
33,55493.95,103057.49,214634.81,Pune,96778.92
34,46426.07,157693.92,210797.67,Bangalore,96712.8
35,46014.02,85047.44,205517.64,Mumbai,96479.51
36,28663.76,127056.21,201126.82,Pune,90708.19
37,44069.95,51283.14,197029.42,Bangalore,89949.14
38,20229.59,65947.93,185265.1,Mumbai,81229.06
39,38558.51,82982.09,174999.3,Bangalore,81005.76
40,28754.33,118546.05,172795.67,Bangalore,78239.91
41,27892.92,84710.77,164470.71,Pune,77798.83
42,23640.93,96189.63,148001.11,Bangalore,71498.49
43,15505.73,127382.3,35534.17,Mumbai,69758.98
44,22177.74,154806.14,28334.72,Bangalore,65200.33
45,1000.23,124153.04,1903.93,Mumbai,64926.08
46,1315.46,115816.21,297114.46,Pune,49490.75
47,0.0,135426.92,0.0,Bangalore,42559.73
48,542.05,51743.15,0.0,Mumbai,35673.41
49,0.0,116983.8,45173.06,Bangalore,14681.4
